timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738099094721,7410,/confirmation.php,200,OK,Blaze 1-164,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,7396,0,0
1738099099539,2602,/confirmation.php,200,OK,Blaze 1-193,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,2590,0,0
1738099098435,3708,/reserve.php,200,OK,Blaze 1-5,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,3686,0,0
1738099101824,319,/confirmation.php,200,OK,Blaze 1-53,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,304,0,0
1738099101480,676,/confirmation.php,200,OK,Blaze 1-176,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,663,0,0
1738099101537,624,Página Inicial,200,OK,Blaze 1-100,text,true,,4757,122,250,250,https://www.blazedemo.com/,612,0,274
1738099099901,2264,Página Inicial,200,OK,Blaze 1-165,text,true,,4757,122,250,250,https://www.blazedemo.com/,2252,0,270
1738099101874,291,/purchase.php,200,OK,Blaze 1-237,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,275,0,0
1738099101615,558,Página Inicial,200,OK,Blaze 1-220,text,true,,4757,122,250,250,https://www.blazedemo.com/,548,0,264
1738099101836,338,/confirmation.php,200,OK,Blaze 1-190,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,328,0,0
1738099099698,2480,/reserve.php,200,OK,Blaze 1-76,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2459,0,0
1738099101879,299,/purchase.php,200,OK,Blaze 1-143,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,284,0,0
1738099097767,4417,/purchase.php,200,OK,Blaze 1-191,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,4404,0,0
1738099100713,1470,Página Inicial,200,OK,Blaze 1-242,text,true,,4757,122,250,250,https://www.blazedemo.com/,1458,0,274
1738099099853,2334,Página Inicial,200,OK,Blaze 1-120,text,true,,4757,122,250,250,https://www.blazedemo.com/,2321,0,270
1738099099817,2376,/confirmation.php,200,OK,Blaze 1-6,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,2362,0,0
1738099094796,7396,/purchase.php,200,OK,Blaze 1-204,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,7382,0,0
1738099099514,2683,Página Inicial,200,OK,Blaze 1-118,text,true,,4757,122,250,250,https://www.blazedemo.com/,2670,0,294
1738099098592,3620,/confirmation.php,200,OK,Blaze 1-61,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,3608,0,0
1738099101146,1065,/confirmation.php,200,OK,Blaze 1-187,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1053,0,0
1738099101866,355,/purchase.php,200,OK,Blaze 1-30,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,342,0,0
1738099100255,1970,Página Inicial,200,OK,Blaze 1-159,text,true,,4757,122,250,250,https://www.blazedemo.com/,1957,0,263
1738099098589,3654,/purchase.php,200,OK,Blaze 1-224,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,3643,0,0
1738099100305,1940,/purchase.php,200,OK,Blaze 1-232,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,1928,0,0
1738099101684,564,/reserve.php,200,OK,Blaze 1-154,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,542,0,0
1738099098386,3863,Página Inicial,200,OK,Blaze 1-134,text,true,,4757,122,250,250,https://www.blazedemo.com/,3851,0,261
1738099101926,344,/purchase.php,200,OK,Blaze 1-71,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,331,0,0
1738099101926,348,/reserve.php,200,OK,Blaze 1-194,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,328,0,0
1738099099735,2552,/confirmation.php,200,OK,Blaze 1-172,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,2540,0,0
1738099100080,2214,Página Inicial,200,OK,Blaze 1-91,text,true,,4757,122,250,250,https://www.blazedemo.com/,2204,0,303
1738099097890,4414,Página Inicial,200,OK,Blaze 1-192,text,true,,4757,122,250,250,https://www.blazedemo.com/,4404,0,257
1738099101809,495,/purchase.php,200,OK,Blaze 1-124,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,484,0,0
1738099098417,3894,Página Inicial,200,OK,Blaze 1-2,text,true,,4757,122,250,250,https://www.blazedemo.com/,3883,0,286
1738099101649,661,Página Inicial,200,OK,Blaze 1-207,text,true,,4757,122,250,250,https://www.blazedemo.com/,650,0,276
1738099100407,1908,/confirmation.php,200,OK,Blaze 1-139,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1897,0,0
1738099101961,377,/reserve.php,200,OK,Blaze 1-23,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,349,0,0
1738099101999,340,/reserve.php,200,OK,Blaze 1-15,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,337,0,0
1738099100485,1865,/reserve.php,200,OK,Blaze 1-178,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1853,0,0
1738099102072,282,/confirmation.php,200,OK,Blaze 1-18,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,268,0,0
1738099102024,332,/confirmation.php,200,OK,Blaze 1-239,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,322,0,0
1738099094606,7753,Página Inicial,200,OK,Blaze 1-125,text,true,,4757,122,250,250,https://www.blazedemo.com/,7740,0,270
1738099101773,587,/purchase.php,200,OK,Blaze 1-41,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,575,0,0
1738099100492,1875,/confirmation.php,200,OK,Blaze 1-205,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1864,0,0
1738099101440,927,/reserve.php,200,OK,Blaze 1-88,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,908,0,0
1738099100035,2345,/reserve.php,200,OK,Blaze 1-127,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2323,0,0
1738099102025,356,/confirmation.php,200,OK,Blaze 1-234,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,345,0,0
1738099099762,2636,/purchase.php,200,OK,Blaze 1-141,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2625,0,0
1738099100240,2167,Página Inicial,200,OK,Blaze 1-7,text,true,,4757,122,250,250,https://www.blazedemo.com/,2154,0,278
1738099098183,4236,/purchase.php,200,OK,Blaze 1-31,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,4221,0,0
1738099098193,4226,/purchase.php,200,OK,Blaze 1-167,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,4214,0,0
1738099101823,603,Página Inicial,200,OK,Blaze 1-132,text,true,,4757,122,250,250,https://www.blazedemo.com/,591,0,269
1738099102096,344,/purchase.php,200,OK,Blaze 1-186,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,330,0,0
1738099101891,585,Página Inicial,200,OK,Blaze 1-87,text,true,,4757,122,250,250,https://www.blazedemo.com/,572,0,301
1738099100672,1808,/purchase.php,200,OK,Blaze 1-36,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,1793,0,0
1738099102192,288,/confirmation.php,200,OK,Blaze 1-204,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,275,0,0
1738099099980,2506,/reserve.php,200,OK,Blaze 1-51,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2484,0,0
1738099102165,322,/confirmation.php,200,OK,Blaze 1-237,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,310,0,0
1738099102183,304,/reserve.php,200,OK,Blaze 1-242,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,282,0,0
1738099102177,314,/purchase.php,200,OK,Blaze 1-76,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,303,0,0
1738099099809,2693,Página Inicial,200,OK,Blaze 1-131,text,true,,4757,122,250,250,https://www.blazedemo.com/,2679,0,577
1738099101503,1002,Página Inicial,200,OK,Blaze 1-161,text,true,,4757,122,250,250,https://www.blazedemo.com/,990,0,289
1738099102242,273,/confirmation.php,200,OK,Blaze 1-224,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,261,0,0
1738099101824,691,/purchase.php,200,OK,Blaze 1-24,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,679,0,0
1738099099910,2622,Página Inicial,200,OK,Blaze 1-111,text,true,,4757,122,250,250,https://www.blazedemo.com/,2610,0,276
1738099100383,2149,/reserve.php,200,OK,Blaze 1-156,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2131,0,0
1738099102186,357,/reserve.php,200,OK,Blaze 1-120,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,337,0,0
1738099100609,1956,/reserve.php,200,OK,Blaze 1-105,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1938,0,0
1738099100882,1687,/reserve.php,200,OK,Blaze 1-112,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1665,0,0
1738099100193,2386,/reserve.php,200,OK,Blaze 1-243,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,2366,0,0
1738099101925,658,/reserve.php,200,OK,Blaze 1-1,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,637,0,0
1738099100439,2159,/purchase.php,200,OK,Blaze 1-17,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,2145,0,0
1738099102183,430,/confirmation.php,200,OK,Blaze 1-191,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,418,0,0
1738099102034,588,/reserve.php,200,OK,Blaze 1-185,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,567,0,0
1738099102338,290,/purchase.php,200,OK,Blaze 1-23,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,275,0,0
1738099100029,2602,Página Inicial,200,OK,Blaze 1-35,text,true,,4757,122,250,250,https://www.blazedemo.com/,2588,0,270
1738099100681,1950,/confirmation.php,200,OK,Blaze 1-219,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,1937,0,0
